Device,Test Name,Test Status,Message(s),Test description,Test category
SF-SOMA-Leaf-1A,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
SF-SOMA-Leaf-1A,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
SF-SOMA-Leaf-1A,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
SF-SOMA-Leaf-1A,VerifyEnvironmentCooling,skipped,VerifyEnvironmentCooling test is not supported on vEOS-lab,Verifies the status of power supply fans and all fan trays.,Hardware
SF-SOMA-Leaf-1A,VerifyEnvironmentPower,skipped,VerifyEnvironmentPower test is not supported on vEOS-lab,Verifies the power supplies state and input voltage.,Hardware
SF-SOMA-Leaf-1A,VerifyEnvironmentSystemCooling,skipped,VerifyEnvironmentSystemCooling test is not supported on vEOS-lab,Verifies the device's system cooling status.,Hardware
SF-SOMA-Leaf-1A,VerifyTemperature,skipped,VerifyTemperature test is not supported on vEOS-lab,Verifies if the device temperature is within acceptable limits.,Hardware
SF-SOMA-Leaf-1A,VerifyTransceiversTemperature,skipped,VerifyTransceiversTemperature test is not supported on vEOS-lab,Verifies if all the transceivers are operating at an acceptable temperature.,Hardware
SF-SOMA-Leaf-1A,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
SF-SOMA-Leaf-1A,VerifyInterfaceDiscards,failure,Interface: Management1 - Non-zero discard counter(s): inDiscards: 2,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
SF-SOMA-Leaf-1A,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
SF-SOMA-Leaf-1A,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
SF-SOMA-Leaf-1A,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
SF-SOMA-Leaf-1A,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
SF-SOMA-Leaf-1A,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
SF-SOMA-Leaf-1A,VerifyStormControlDrops,skipped,VerifyStormControlDrops test is not supported on vEOS-lab,Verifies there are no interface storm-control drop counters.,Interfaces
SF-SOMA-Leaf-1A,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
Dec 18 12:37:22 SF-SOMA-Leaf-1A ProcMgr: %PROCMGR-3-SHUTDOWNREQUESTED: ProcMgr shutdown requested via SIGQUIT or SIGTERM to worker (PID=1433) -- Master ProcMgr (PID=1433) exiting.
 Dec 18 12:37:22 SF-SOMA-Leaf-1A Stp: %FWK-3-SOCKET_CLOSE_REMOTE: Connection to StpTxRx (pid:1852) at tbl://stpTxRxListen/+n closed by peer (EOF)
 Dec 18 12:37:22 SF-SOMA-Leaf-1A Stp: %FWK-3-MOUNT_PEER_CLOSED: Peer closed socket connection. (tbl://stpTxRxListen/+n-in)(StpTxRx (pid:1852))
 
",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
SF-SOMA-Leaf-1A,VerifyMlagConfigSanity,success,,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
SF-SOMA-Leaf-1A,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
SF-SOMA-Leaf-1A,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
SF-SOMA-Leaf-1A,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
SF-SOMA-Leaf-1A,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
SF-SOMA-Leaf-1A,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
SF-SOMA-Leaf-1A,VerifyCoredump,success,,Verifies there are no core dump files.,System
SF-SOMA-Leaf-1A,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
SF-SOMA-Leaf-1A,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
SF-SOMA-Leaf-1A,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
SF-SOMA-Leaf-1A,VerifyNTP,success,,Verifies if NTP is synchronised.,System
SF-SOMA-Leaf-1A,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
SF-SOMA-Leaf-1B,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
SF-SOMA-Leaf-1B,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
SF-SOMA-Leaf-1B,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
SF-SOMA-Leaf-1B,VerifyEnvironmentCooling,skipped,VerifyEnvironmentCooling test is not supported on vEOS-lab,Verifies the status of power supply fans and all fan trays.,Hardware
SF-SOMA-Leaf-1B,VerifyEnvironmentPower,skipped,VerifyEnvironmentPower test is not supported on vEOS-lab,Verifies the power supplies state and input voltage.,Hardware
SF-SOMA-Leaf-1B,VerifyEnvironmentSystemCooling,skipped,VerifyEnvironmentSystemCooling test is not supported on vEOS-lab,Verifies the device's system cooling status.,Hardware
SF-SOMA-Leaf-1B,VerifyTemperature,skipped,VerifyTemperature test is not supported on vEOS-lab,Verifies if the device temperature is within acceptable limits.,Hardware
SF-SOMA-Leaf-1B,VerifyTransceiversTemperature,skipped,VerifyTransceiversTemperature test is not supported on vEOS-lab,Verifies if all the transceivers are operating at an acceptable temperature.,Hardware
SF-SOMA-Leaf-1B,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
SF-SOMA-Leaf-1B,VerifyInterfaceDiscards,failure,Interface: Management1 - Non-zero discard counter(s): inDiscards: 2,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
SF-SOMA-Leaf-1B,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
SF-SOMA-Leaf-1B,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
SF-SOMA-Leaf-1B,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
SF-SOMA-Leaf-1B,VerifyInterfacesStatus,failure,"Interface: Ethernet2 - Status mismatch - Expected: up/up, Actual: down/down - Interface: Ethernet3 - Status mismatch - Expected: up/up, Actual: down/down - Interface: Ethernet4 - Status mismatch - Expected: up/up, Actual: down/down - Interface: Ethernet5 - Status mismatch - Expected: up/up, Actual: down/down - Interface: Ethernet6 - Status mismatch - Expected: up/up, Actual: down/down - Interface: Ethernet7 - Status mismatch - Expected: up/up, Actual: down/down - Interface: Ethernet8 - Status mismatch - Expected: up/up, Actual: down/down - Interface: Ethernet9 - Status mismatch - Expected: up/up, Actual: down/down - Interface: Ethernet10 - Status mismatch - Expected: up/up, Actual: down/down - Interface: Ethernet11 - Status mismatch - Expected: up/up, Actual: down/down - Interface: Ethernet12 - Status mismatch - Expected: up/up, Actual: down/down - Interface: Ethernet14 - Status mismatch - Expected: up/up, Actual: down/down - Interface: Ethernet15 - Status mismatch - Expected: up/up, Actual: down/down - Interface: Ethernet16 - Status mismatch - Expected: up/up, Actual: down/down - Interface: Ethernet17 - Status mismatch - Expected: up/up, Actual: down/down - Interface: Ethernet18 - Status mismatch - Expected: up/up, Actual: down/down - Interface: Ethernet19 - Status mismatch - Expected: up/up, Actual: down/down - Interface: Ethernet20 - Status mismatch - Expected: up/up, Actual: down/down - Interface: Ethernet21 - Status mismatch - Expected: up/up, Actual: down/down - Interface: Ethernet22 - Status mismatch - Expected: up/up, Actual: down/down - Interface: Ethernet23 - Status mismatch - Expected: up/up, Actual: down/down - Interface: Ethernet24 - Status mismatch - Expected: up/up, Actual: down/down - Interface: Ethernet25 - Status mismatch - Expected: up/up, Actual: down/down - Interface: Ethernet26 - Status mismatch - Expected: up/up, Actual: down/down - Interface: Ethernet27 - Status mismatch - Expected: up/up, Actual: down/down - Interface: Ethernet28 - Status mismatch - Expected: up/up, Actual: down/down - Interface: Ethernet29 - Status mismatch - Expected: up/up, Actual: down/down - Interface: Ethernet30 - Status mismatch - Expected: up/up, Actual: down/down - Interface: Ethernet31 - Status mismatch - Expected: up/up, Actual: down/down",Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
SF-SOMA-Leaf-1B,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
SF-SOMA-Leaf-1B,VerifyStormControlDrops,skipped,VerifyStormControlDrops test is not supported on vEOS-lab,Verifies there are no interface storm-control drop counters.,Interfaces
SF-SOMA-Leaf-1B,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
Dec 18 12:37:21 SF-SOMA-Leaf-1B ProcMgr: %PROCMGR-3-SHUTDOWNREQUESTED: ProcMgr shutdown requested via SIGQUIT or SIGTERM to worker (PID=1432) -- Master ProcMgr (PID=1432) exiting.
 
",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
SF-SOMA-Leaf-1B,VerifyMlagConfigSanity,success,,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
SF-SOMA-Leaf-1B,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
SF-SOMA-Leaf-1B,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
SF-SOMA-Leaf-1B,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
SF-SOMA-Leaf-1B,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
SF-SOMA-Leaf-1B,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
SF-SOMA-Leaf-1B,VerifyCoredump,success,,Verifies there are no core dump files.,System
SF-SOMA-Leaf-1B,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
SF-SOMA-Leaf-1B,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
SF-SOMA-Leaf-1B,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
SF-SOMA-Leaf-1B,VerifyNTP,success,,Verifies if NTP is synchronised.,System
SF-SOMA-Leaf-1B,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
SF-SOMA-Leaf-2A,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
SF-SOMA-Leaf-2A,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
SF-SOMA-Leaf-2A,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
SF-SOMA-Leaf-2A,VerifyEnvironmentCooling,skipped,VerifyEnvironmentCooling test is not supported on vEOS-lab,Verifies the status of power supply fans and all fan trays.,Hardware
SF-SOMA-Leaf-2A,VerifyEnvironmentPower,skipped,VerifyEnvironmentPower test is not supported on vEOS-lab,Verifies the power supplies state and input voltage.,Hardware
SF-SOMA-Leaf-2A,VerifyEnvironmentSystemCooling,skipped,VerifyEnvironmentSystemCooling test is not supported on vEOS-lab,Verifies the device's system cooling status.,Hardware
SF-SOMA-Leaf-2A,VerifyTemperature,skipped,VerifyTemperature test is not supported on vEOS-lab,Verifies if the device temperature is within acceptable limits.,Hardware
SF-SOMA-Leaf-2A,VerifyTransceiversTemperature,skipped,VerifyTransceiversTemperature test is not supported on vEOS-lab,Verifies if all the transceivers are operating at an acceptable temperature.,Hardware
SF-SOMA-Leaf-2A,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
SF-SOMA-Leaf-2A,VerifyInterfaceDiscards,failure,Interface: Management1 - Non-zero discard counter(s): inDiscards: 2,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
SF-SOMA-Leaf-2A,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
SF-SOMA-Leaf-2A,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
SF-SOMA-Leaf-2A,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
SF-SOMA-Leaf-2A,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
SF-SOMA-Leaf-2A,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
SF-SOMA-Leaf-2A,VerifyStormControlDrops,skipped,VerifyStormControlDrops test is not supported on vEOS-lab,Verifies there are no interface storm-control drop counters.,Interfaces
SF-SOMA-Leaf-2A,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
Dec 18 12:37:21 SF-SOMA-Leaf-2A ProcMgr: %PROCMGR-3-SHUTDOWNREQUESTED: ProcMgr shutdown requested via SIGQUIT or SIGTERM to worker (PID=1482) -- Master ProcMgr (PID=1482) exiting.
 
",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
SF-SOMA-Leaf-2A,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
SF-SOMA-Leaf-2A,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
SF-SOMA-Leaf-2A,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
SF-SOMA-Leaf-2A,VerifyCoredump,success,,Verifies there are no core dump files.,System
SF-SOMA-Leaf-2A,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
SF-SOMA-Leaf-2A,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
SF-SOMA-Leaf-2A,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
SF-SOMA-Leaf-2A,VerifyNTP,success,,Verifies if NTP is synchronised.,System
SF-SOMA-Leaf-2A,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
SF-SOMA-Leaf-3A,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
SF-SOMA-Leaf-3A,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
SF-SOMA-Leaf-3A,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
SF-SOMA-Leaf-3A,VerifyEnvironmentCooling,skipped,VerifyEnvironmentCooling test is not supported on vEOS-lab,Verifies the status of power supply fans and all fan trays.,Hardware
SF-SOMA-Leaf-3A,VerifyEnvironmentPower,skipped,VerifyEnvironmentPower test is not supported on vEOS-lab,Verifies the power supplies state and input voltage.,Hardware
SF-SOMA-Leaf-3A,VerifyEnvironmentSystemCooling,skipped,VerifyEnvironmentSystemCooling test is not supported on vEOS-lab,Verifies the device's system cooling status.,Hardware
SF-SOMA-Leaf-3A,VerifyTemperature,skipped,VerifyTemperature test is not supported on vEOS-lab,Verifies if the device temperature is within acceptable limits.,Hardware
SF-SOMA-Leaf-3A,VerifyTransceiversTemperature,skipped,VerifyTransceiversTemperature test is not supported on vEOS-lab,Verifies if all the transceivers are operating at an acceptable temperature.,Hardware
SF-SOMA-Leaf-3A,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
SF-SOMA-Leaf-3A,VerifyInterfaceDiscards,failure,Interface: Management1 - Non-zero discard counter(s): inDiscards: 2,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
SF-SOMA-Leaf-3A,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
SF-SOMA-Leaf-3A,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
SF-SOMA-Leaf-3A,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
SF-SOMA-Leaf-3A,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
SF-SOMA-Leaf-3A,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
