Device,Test Name,Test Status,Message(s),Test description,Test category
SF-FD-Leaf-1A,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
SF-FD-Leaf-1A,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
SF-FD-Leaf-1A,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
SF-FD-Leaf-1A,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
SF-FD-Leaf-1A,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
SF-FD-Leaf-1A,VerifyEnvironmentCooling,skipped,VerifyEnvironmentCooling test is not supported on vEOS-lab,Verifies the status of power supply fans and all fan trays.,Hardware
SF-FD-Leaf-1A,VerifyEnvironmentPower,skipped,VerifyEnvironmentPower test is not supported on vEOS-lab,Verifies the power supplies state and input voltage.,Hardware
SF-FD-Leaf-1A,VerifyEnvironmentSystemCooling,skipped,VerifyEnvironmentSystemCooling test is not supported on vEOS-lab,Verifies the device's system cooling status.,Hardware
SF-FD-Leaf-1A,VerifyTemperature,skipped,VerifyTemperature test is not supported on vEOS-lab,Verifies if the device temperature is within acceptable limits.,Hardware
SF-FD-Leaf-1A,VerifyTransceiversTemperature,skipped,VerifyTransceiversTemperature test is not supported on vEOS-lab,Verifies if all the transceivers are operating at an acceptable temperature.,Hardware
SF-FD-Leaf-1A,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
SF-FD-Leaf-1A,VerifyInterfaceDiscards,success,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
SF-FD-Leaf-1A,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
SF-FD-Leaf-1A,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
SF-FD-Leaf-1A,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
SF-FD-Leaf-1A,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
SF-FD-Leaf-1A,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
SF-FD-Leaf-1A,VerifyStormControlDrops,skipped,VerifyStormControlDrops test is not supported on vEOS-lab,Verifies there are no interface storm-control drop counters.,Interfaces
